alim_nom_fr;Energie, Règlement UE N° 1169/2011 (kJ/100 g);Energie, Règlement UE N° 1169/2011 (kcal/100 g);Protéines, N x 6.25 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Glucose (g/100 g);Alcool (g/100 g)
Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues;1110;262;9,98;41,4;5,69;3,46;0,16;0
Nouilles sautées/poêlées aux crevettes;436;104;4,88;12,6;3,4;1,7;0,4;0
Riz blanc, avec poulet, préemballé, cuit;737;175;4,44;31,5;3,19;3,48;-;0
Riz blanc, avec légumes et viande, préemballé, cuit;704;167;4,85;28,3;3,57;1,91;-;0
Risotto, aux légumes, préemballé;505;120;2,88;18,4;3,8;0,85;0,18;0
Risotto, aux fruits de mer, préemballé;544;130;5,75;12,5;6,07;2,02;-;0
Risotto, aux fromages, préemballé;822;195;5,93;30,9;5,16;0,58;-;0
Raviolis aux légumes, sauce tomate, appertisés;383;91,1;2,88;13,5;2,45;2,83;0,7;0
Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites;654;156;5,19;20,9;4,9;1,9;0,3;0
Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées;681;163;7,17;15,9;7,4;5,85;-;0
Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues;1080;255;9,4;41,4;5,06;3,14;-;0
Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen);837;199;7,98;25,7;6,53;2,82;0,21;0
Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée;627;150;2,63;18,6;6,5;0,8;0,4;0
Lasagnes ou cannellonis aux légumes, préemballés, cuits;512;122;4,38;11,8;5,9;4,3;1,3;0
Lasagnes ou cannellonis aux légumes et au fromage de chèvre, préemballés, cuits;749;179;7;14;10,2;2,3;0,38;0
Lasagnes ou cannellonis au fromage et aux épinards, préemballés;557;133;6,1;11,4;6,6;3,5;< 0,3;0
Aligot (purée de pomme de terre à la tomme fraîche), préemballé;810;195;8,06;9,5;13,3;0,57;< 0,1;0
Fromage de chèvre pané à dorer, préemballé;-;-;12,7;15;19,2;3,5;0,4;0
Soufflé au fromage;767;184;12,9;3,8;12,6;1,77;-;0
Tartiflette, préemballée;671;161;6;13,5;8,9;1,25;0,41;0
Gougère;1660;399;16,2;22,7;26,6;0,56;0,11;0
Préparation à base de fromage(s) pour fondue savoyarde, préemballée;959;231;15,9;2,6;17,2;1,1;-;0,3
Fromage pané au jambon;1100;263;17,4;15,3;14,6;1,5;-;0
Escalope végétale ou steak à base de soja;-;-;17;8,7;14,7;2,3;0,7;0
Tempeh;660;157;17,6;7,89;4,7;0,24;0,11;0
Nuggets de blé (sans soja), préemballé;1190;284;13,5;22,4;14,9;1,33;0,22;0
Nuggets soja et blé (ne convient pas aux véganes ou végétaliens), préemballé;1060;253;14,1;18,5;12,6;3,17;0,49;0
Nuggets soja et blé (convient aux véganes ou végétaliens), préemballé;1050;251;15,5;19,7;10,9;1,75;0,23;0
Pané soja et blé (ne convient pas aux véganes ou végétaliens);1090;260;14,4;16,8;13,9;1,28;0,2;0
Bâtonnet pané soja et blé (convient aux véganes ou végétaliens), préemballée;1030;245;16,9;18,8;10;traces;< 0,1;0
Escalope panée, soja, blé et fromage, type cordon bleu, préemballée;1030;247;15,2;15,1;13,1;2,05;0,39;0
Raviolis au tofu, à la sauce tomate, préemballés;385;91,7;3,13;12,5;2,7;3,14;0,88;0
Galette de céréales au fromage (sans soja), préemballé;1010;241;7;27,8;10,3;2,86;0,72;0
Galette de céréales aux légumes (sans soja), préemballé;885;211;5,31;28;7,6;3,66;0,7;0
Boulette végétale au soja et/ou blé, préemballée;880;211;17,6;7,98;10,6;3,47;1,03;0
Galette ou pavé aux lentilles, soja et légumes, préemballé;713;170;10,6;16,7;5,6;2,77;0,63;0
Galette ou pavé au blé (seitan) et légumes, préemballé;873;208;13,4;20,8;7,1;3,97;0,49;0
Galette ou pavé au blé et soja (convient aux véganes ou végétaliens), préemballé;899;215;17,5;8,15;11;1,87;0,4;0
Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens), préemballé;840;201;11,1;13,3;10,2;2,62;1,03;0
Galette ou pavé au soja et fromage, préemballé;850;204;16,8;6,08;12;0,75;0,2;0
Galette ou pavé au soja et légumes, préemballé;732;175;14,4;8,36;8,1;3,45;0,97;0
Galette ou pavé au soja, fromage et légumes, préemballé;751;180;15,1;7,72;9,1;2,03;0,63;0
Haché végétal à base de soja, préemballé;599;143;12,6;7,01;5,8;4,19;1,16;0
Pizza au fromage ou Pizza margherita, préemballée;953;227;9,09;29,6;7,64;2,72;0,7;0
Quiche lorraine, préemballée;1140;274;8,96;21;16,8;2,67;0,25;0
Crêpe ou Galette fourrée béchamel jambon, préemballée;573;136;5,75;18,7;4;1,89;-;0
Crêpe ou Galette fourrée béchamel jambon fromage, préemballée;765;182;8,83;19,1;7,5;1,7;0,2;0
Crêpe ou Galette fourrée béchamel champignon, préemballée;629;150;4,83;20,7;5,02;2,7;-;0
Tarte aux légumes, préemballée;902;216;5;21,8;11,7;3,2;-;0
Pizza jambon fromage, préemballée;917;218;10,3;28;6,69;2,91;0,53;0
Tarte au fromage, préemballée;1210;289;10,3;20,7;18;1,63;0,083;0
Tarte à la provençale, préemballée;1000;241;5,5;20;14,3;2,9;-;0
Pizza à la viande, type bolognaise, préemballée;952;227;10,3;27,2;8,03;2,94;1,03;0
Burritos;709;170;8;14,3;8,5;1,9;0,86;0
Fajitas;665;158;12,7;16;4,5;2,2;0,7;0
Pizza au chorizo ou salami, préemballée;1040;248;10,4;26,5;10,7;3,29;0,6;0
Pizza aux fruits de mer, préemballée;843;200;10,3;24,6;6,65;1,5;-;0
Pizza au saumon, préemballée;969;231;10,1;26,7;8,78;3,04;0,59;0
Pizza au chèvre et lardons, préemballée;1030;245;10,7;26,9;9,96;3,17;0,8;0
Pizza aux légumes ou Pizza 4 saisons, préemballée;900;214;8,48;25,7;8;3,62;0,79;0
Pizza champignons fromage, préemballée;915;217;7,8;31,6;6,1;1,9;-;0
Pizza 4 fromages, préemballée;1120;267;13,1;28,2;10,5;2,61;0,44;0
Pizza (aliment moyen);979;233;10,8;27,3;8,39;2,93;0,6;0
Pissaladière, préemballée;1190;284;6,4;33,8;13,1;2,9;-;0
Tarte à l'oignon, préemballée;1170;280;7;23,5;17,2;5,63;-;0
Pizza jambon fromage champignons ou pizza royale, reine ou regina, préemballée;863;205;9,54;25,7;6,66;3,16;0,78;0
Crêpe ou Galette fourrée béchamel fromage, préemballée;623;149;6,02;17,7;5,75;3,86;-;0
Flammenkueche ou Tarte flambée aux lardons, préemballée;1260;300;8,81;31,8;14,8;4,15;0,55;0
Crêpe ou Galette fourrée béchamel jambon fromage champignon, préemballée;666;159;8,3;16,6;6,3;2,7;-;0
Tarte ou Tourte aux poireaux, préemballée;1020;243;5,76;21,6;14,3;2,34;0,6;0
Tarte au saumon, préemballée;899;215;8,53;21;10,5;1,63;0,3;0
Tourte au riesling, préemballée;1050;251;10,2;23,7;12,6;2,25;-;0
Tarte à la tomate, préemballée;910;218;5,17;19,3;12,8;4,2;1,7;0
Crêpe ou Galette complète (oeuf, jambon, fromage), préemballée;873;209;12,7;15,2;9,8;1,1;< 0,2;0
Tarte aux noix de Saint-Jacques, préemballée;1110;266;8,25;24,2;14,5;2,5;-;0
Pastilla au poulet, préemballée;910;218;12,3;14,1;12,2;3,85;0,53;0
Pizza aux lardons, oignons et fromage, préemballée;1070;255;11,2;27,7;10,6;3,7;-;0
Crêpe ou Galette aux noix de St Jacques, préemballée;705;168;7,7;15,8;8;2,8;-;0
Tarte ou quiche salée (aliment moyen);1110;267;8,11;22,7;15,6;3,14;0,55;0
Crêpe ou Galette fourrée béchamel champignon, cuite, préemballée;721;172;5,5;18,5;7,7;3,16;0,29;0
Tarte au maroilles ou Flamiche au maroilles, préemballée;1310;315;14,1;22,1;18,3;2,8;-;0
Crêpe ou Galette fourrée au poisson et / ou fruits de mer, préemballée;857;206;8,5;14,3;12,4;2,4;-;0
Ficelle picarde, préemballée;631;151;8,6;11,9;7,5;2,7;-;0
Tarte épinard chèvre, préemballée;1020;244;7,08;22,2;13,6;3;0,2;0
Tielle sétoise, préemballée;1280;306;8,15;30,9;16;5,05;1;0
Pizza au thon, préemballée;922;220;10,8;23,3;8,78;3,47;-;0
Pizza kebab, préemballée;887;211;9,4;26,6;7,01;3,04;-;0
Pizza au poulet, préemballée;903;215;9,95;27,5;6,68;2,96;0,4;0
Pizza type raclette ou tartiflette, préemballée;1160;276;11,8;27,5;12,7;2,77;-;0
Pizza au speck ou jambon cru, préemballée;1010;240;12,2;25,7;9,43;3,47;0,47;0
Focaccia, garnie;979;233;8;29,5;8,75;4,25;-;0
Fougasse, garnie;1280;306;9,53;38,8;11,8;1,47;-;0
Croque-monsieur, fait maison;-;-;14,3;-;18,4;-;-;0
Hot-dog, préemballé;1160;278;10,9;26,3;13,8;5,2;2;0
Hamburger, provenant de fast food;1030;246;13,3;28,3;8,44;5,95;2,13;0
Cheeseburger, provenant de fast food;1120;268;14;23,1;12,9;5,47;1,97;0
Double cheeseburger, provenant de fast food;1250;299;15,5;21,5;16,7;-;0,9;0
Burger au poisson, provenant de fast food;1100;263;12,2;26,7;11,5;3,9;1,3;0
Sandwich grec ou Kebab, pita, crudités;977;233;15,2;17,4;10,9;1,1;< 0,2;0
Sandwich grec ou Kebab, baguette, crudités;1030;246;15;23,6;9,8;2,6;-;0
Sandwich baguette, thon, crudités (tomate, salade), mayonnaise;1150;274;10,3;32;11,3;1,4;-;0
Sandwich panini, jambon cru, mozzarella, tomates;1020;243;14,2;27,2;8,35;-;-;0
Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre;934;222;10,1;30,9;5,98;2,55;-;0
Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise;1040;247;10;36,3;6,35;3;1;0
Sandwich baguette, jambon emmental, préemballé;1190;285;13,3;26,9;13,1;2,55;0,28;0
Sandwich baguette, saumon fumé, beurre;1120;265;11,5;40,8;5,6;2,65;-;0
Sandwich baguette, thon, maïs, crudités, préemballé;831;198;8,87;25;6,03;2,83;0,8;0
Burger au poulet;1040;249;12,7;23,8;11;2,9;1,16;0
Pan bagnat;906;215;7,95;30,3;6,48;3,2;-;0
Sandwich baguette, jambon, beurre;1190;285;9,93;33,7;11,5;2,34;1,09;0
Sandwich baguette, camembert, beurre;1420;339;11,9;34,3;16,7;2,18;-;0
